# Phase 16.10 — curated hype board. ROWS ARE DERIVED (adp/hype_board.py::nominate);
# pick_delta / note / source / confidence / reviewed are CURATED and are yours to edit.
# pick_delta > 0 = the room drafts him EARLIER than the consensus board says, in picks.
# CURATED, NOT BACKTESTED: 16.8 found no per-player drift signal and 16.9 found the narrative
# shock unidentified, so nothing in Phase 16 validates these numbers. The board is opt-in and
# default OFF everywhere; set reviewed=true only for rows you personally stand behind.
# Regenerate with: uv run python steps/phase16_10_hype_board.py --write   (your edits survive)
season,gsis_id,player,position,team,adp,pick_delta,note,source,evidence,confidence,reviewed
2026,00-0039344,Jonathon Brooks,RB,CAR,127.3,8.0,Explicit 'hype train gets more steam' training-camp coverage and a 'screaming value' late-round-RB label. Two right ACL tears and a missed 2025 are exactly the profile a room talks itself into during August.,"sports.yahoo.com,fantasylife.com",derived+web,high,False
2026,00-0040676,Cam Ward,QB,TEN,167.7,8.0,"Widely flagged as 'the popular sleeper' at QB25: 15.3 ppg over his last month as a rookie, and Tennessee spent the offseason building around him (Carnell Tate, Wan'Dale Robinson, O-line). Second-year-QB-leap is the most reliably over-drafted story in fantasy.","si.com,fantasysixpack.net",derived+web,high,False
2026,TAT143045,Carnell Tate,WR,TEN,62.6,5.0,"WR1 of the class off the board at No. 4 overall, and described as having the clearest path to volume of the rookie trio. Rookie WRs with an alpha role are the single most reliably reached-for group (16.8 measured rookies at +0.73 rounds).","rotoballer.com,cbssports.com",derived+web,high,False
2026,SAD482340,Kenyon Sadiq,TE,NYJ,152.2,4.0,"First-round TE (No. 16) with the highest ceiling in the Jets' rookie class. Genuinely two-sided: hernia surgery cost him OTAs and minicamp, and the room already holds Mason Taylor and Jeremy Ruckert. Hyped, but the delta is small for that reason.","newyorkjets.com,thejetpress.com",derived+web,med,False
2026,00-0034837,Calvin Ridley,WR,TEN,153.0,0.0,"NO CLAIM. Live momentum riser (+0.16 rounds/wk) with no supporting 2026 narrative found; note that Tennessee drafted Carnell Tate at No. 4, which is target competition rather than hype. Left inert pending a human read.",,derived+web,low,False
2026,00-0035229,T.J. Hockenson,TE,MIN,156.1,5.0,"Priced TE23 after a 51/438/3 season, with Kyler Murray arriving — and Murray fed Trey McBride and Zach Ertz heavily in Arizona. 'Sleeper TE' pieces are already running. Counter-case: age 29 and still short of pre-ACL form.","cbssports.com,fantasylife.com",derived+web,med,False
2026,00-0036550,Rashod Bateman,WR,BAL,162.8,3.0,"'Practically free' sleeper pieces are running on the strength of his 9-TD 2024, and a new Baltimore OC (Declan Doyle) is a reset. But 2025 was a genuine disaster and he missed OTAs, so the buzz is thin — low confidence, small delta.","baltimoreravens.com,cbssports.com",derived+web,low,False
2026,LOV121782,Jeremiyah Love,RB,ARI,22.6,3.0,"First rookie off the board, hyped as a top-15 RB. Already priced up (FFC 22.6, Underdog 24.7) so most of the hype is IN the number — hence a small delta despite loud coverage. Bear case is live: bottom-6 offense and a crowded backfield.","fantasylife.com,si.com",derived+web,med,False
2026,BER218265,Germie Bernard,WR,PIT,161.1,9.0,"Second-round pick who 'dominated spring workouts'; HC Mike McCarthy said he was 'crushing it' playing all three receiver spots. Classic camp-buzz riser, and the Steelers WR room (Metcalf, Pittman) leaves a real snap path.","steelersdepot.com,fantasylife.com",derived+web,high,False
2026,00-0039165,Zach Charbonnet,RB,SEA,156.0,-10.0,"Placed on the PUP list to open 2026 — a minimum four missed games, returning mid-season at best. This is the clearest faller on the board and the live series already agrees (−0.08 rounds/wk). Not narrative: a roster fact.","cbssports.com,fantasypros.com",derived+web,high,False
2026,00-0038977,Tank Dell,WR,HOU,158.2,0.0,"NO CLAIM. Nominated on ADP disagreement, but the 2026 preseason coverage found for him was thin and mostly stale. Recorded so the reviewer can see the derivation surfaced him and the research came back empty.",,derived+web,low,False
2026,00-0036261,Brandon Aiyuk,WR,SF,149.1,-4.0,"Roster status genuinely unresolved in coverage, and he carries no row on our own 2026 value board — the projection sources do not know what to do with him either. Fading a player nobody can price is the honest direction, but confidence is low.",thefalcoholic.com,derived+web,low,False
2026,00-0038542,Bijan Robinson,RB,ATL,1.6,-1.0,The other side of the 1.01. Held the consensus top spot through May and has since ceded it to Gibbs. Pairs with the Gibbs row; both are one-pick claims.,"rotowire.com,fftoday.com",derived+web,med,False
2026,00-0039139,Jahmyr Gibbs,RB,DET,1.8,1.0,"The 1.01. Consensus was Bijan through May; Gibbs 'inched ahead in June' as the higher-ceiling play at the same price. A one-pick claim is all the room has to give at ADP 1.8 — carried mostly because the derivation flagged this pair on ADP disagreement alone, which is a real cross-check on the nomination.","rotowire.com,fantasylife.com",derived+web,med,False
