season,team,head_coach,defensive_coordinator,play_caller,hc_calls_defense,in_house,confidence,notes
2016,CHI,John Fox,Vic Fangio,Vic Fangio,0,1,med,
2016,MIA,Adam Gase,Vance Joseph,Vance Joseph,0,0,med,"One season as MIA DC, which is what got him the DEN head-coaching job."
2016,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,"⚠ 2015 EXCLUDED: Rob Ryan opened the season as DC and Allen only took over after Ryan's in-season firing — a minority of games. Allen was on staff in 2015 as a senior defensive assistant, hence in_house=1 for 2016."
2016,NYG,Ben McAdoo,Steve Spagnuolo,Steve Spagnuolo,0,1,med,
2017,ATL,Dan Quinn,Marquand Manuel,Dan Quinn,1,1,low,"⚠ THE LEAST CERTAIN ROW IN THE FILE. Quinn took the calls from Richard Smith during 2016 and gave them to Manuel at some point around 2018; sources conflict on whether 2017 was his or Manuel's. 2016 is EXCLUDED outright because an in-season handover cannot be shown to clear the majority bar. Treat 2017 as unresolved, not as fact."
2017,CHI,John Fox,Vic Fangio,Vic Fangio,0,1,med,
2017,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,
2017,NYG,Ben McAdoo,Steve Spagnuolo,Steve Spagnuolo,0,1,med,
2017,SF,Kyle Shanahan,Robert Saleh,Robert Saleh,0,0,med,The regime that produced the NYJ head-coaching job.
2018,CHI,Matt Nagy,Vic Fangio,Vic Fangio,0,1,med,
2018,NE,Bill Belichick,(none),Brian Flores,0,1,high,"★ THE (none) SENTINEL EARNING ITS KEEP: New England carried NO defensive coordinator in 2018 after Patricia left for DET. Flores called the defense as linebackers coach — title-less play-calling, the exact inverse of the Monken case, and a regime that would be invisible to any table keyed on the DC title."
2018,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,
2018,SF,Kyle Shanahan,Robert Saleh,Robert Saleh,0,1,med,
2019,ARI,Kliff Kingsbury,Vance Joseph,Vance Joseph,0,0,med,⚠ His DEN 2017-18 HEAD-COACHING seasons are deliberately absent: Joe Woods held the coordinator job and the calls. A head-coaching tenure is not a play-calling regime.
2019,ATL,Dan Quinn,Dan Quinn,Dan Quinn,1,1,high,"Took the coordinator job himself after firing Manuel — so head coach, coordinator and play-caller are one person. ⚠ 2020 EXCLUDED: fired after week 5, and Ulbrich called the final 11 (see the ATL 2020 entry)."
2019,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,"Six seasons — the longest regime in this file after Spagnuolo. Promoted from the CIN secondary, hence in_house=1."
2019,DEN,Vic Fangio,Ed Donatell,Vic Fangio,1,0,high,"★ Kept the calls as head coach for all three seasons — Donatell held the title and followed him from CHI, and the question of handing play-calling over was asked publicly and declined. The most fingerprint-able person in this file: five regimes."
2019,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,0,high,Seven unbroken seasons — the longest defensive regime in the league and the single best-conditioned fingerprint subject in this file.
2019,MIA,Brian Flores,Patrick Graham,Patrick Graham,0,0,high,★ Graham was coordinator AND play-caller in 2019 under Flores — which is why Flores gets no MIA row. Two 2026 play-callers were on this one staff.
2019,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,
2019,SF,Kyle Shanahan,Robert Saleh,Robert Saleh,0,1,med,
2019,TB,Bruce Arians,Todd Bowles,Todd Bowles,0,0,med,"⚠ NYJ 2015-18 EXCLUDED: Kacy Rodgers called those defenses. Bowles took the calls only temporarily in 2018 during Rodgers' illness — a minority of games, and exactly the kind of row a title-keyed table would have wrongly credited to the head coach."
2020,ARI,Kliff Kingsbury,Vance Joseph,Vance Joseph,0,1,med,
2020,ATL,Raheem Morris,Jeff Ulbrich,Jeff Ulbrich,0,1,high,"Promoted to DC for the FINAL 11 GAMES of 2020 — a majority, so the season counts to him. Quinn (HC, fired after week 5) called the first stretch and is excluded; pbp's coach of record for 2020 is the interim, Morris."
2020,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,
2020,DEN,Vic Fangio,Ed Donatell,Vic Fangio,1,1,high,
2020,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2020,LAR,Sean McVay,Brandon Staley,Brandon Staley,0,0,med,The one season that produced the LAC head-coaching job.
2020,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,
2020,NYG,Joe Judge,Patrick Graham,Patrick Graham,0,0,med,
2020,SF,Kyle Shanahan,Robert Saleh,Robert Saleh,0,1,med,
2020,TB,Bruce Arians,Todd Bowles,Todd Bowles,0,1,med,
2021,ARI,Kliff Kingsbury,Vance Joseph,Vance Joseph,0,1,med,
2021,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,
2021,DAL,Mike McCarthy,Dan Quinn,Dan Quinn,0,0,med,"⚠ WAS 2024-25 EXCLUDED although he is the head coach there: Joe Whitt Jr. called 2024, and called 2025 until Quinn took over on 10 Nov — a minority share. Per the rule the split season is DROPPED, not averaged and not half-credited."
2021,DEN,Vic Fangio,Ed Donatell,Vic Fangio,1,1,high,
2021,DET,Dan Campbell,Aaron Glenn,Aaron Glenn,0,0,high,"★ His NYJ 2025 head-coaching season is deliberately absent: Glenn said at his introduction he would NOT call plays, and Steve Wilks called them until being fired with three games left (15 of 18 — still Wilks' majority). The signed-off 2026 row has Glenn taking the calls, which would be a CHANGE from 2025, not a continuation."
2021,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2021,LAC,Brandon Staley,(unknown),Brandon Staley,1,0,high,Called the defense himself throughout his head-coaching tenure and said so repeatedly and publicly. ⚠ 2023 ended in an in-season firing (week 15) but his share is a clear majority. DC title left (unknown) rather than guessed.
2021,LAR,Sean McVay,Raheem Morris,Raheem Morris,0,0,high,"★ His ATL 2024-25 HEAD-COACHING seasons are absent — Jimmy Lake called 2024 and Ulbrich 2025 — and so is ATL 2020, where Ulbrich called the final 11 as DC while Morris was interim HEAD coach. Morris has exactly one play-calling regime."
2021,NO,Sean Payton,Dennis Allen,Dennis Allen,0,1,med,
2021,NYG,Joe Judge,Patrick Graham,Patrick Graham,0,1,med,
2021,NYJ,Robert Saleh,Jeff Ulbrich,Jeff Ulbrich,0,0,high,★ OVERTURNED A DRAFT ROW: Saleh — himself a former SF play-caller — publicly handed game-day control to Ulbrich on hiring and never took it back. So these four seasons belong to Ulbrich and Saleh has NO Jets play-calling regime.
2021,PHI,Nick Sirianni,Jonathan Gannon,Jonathan Gannon,0,0,high,★ Gannon's ONLY play-calling regime. His 2023-25 ARI head-coaching seasons are not here because Rallis called that defense — see the ARI entry.
2021,SF,Kyle Shanahan,DeMeco Ryans,DeMeco Ryans,0,1,med,Promoted from the SF inside-linebackers room; the regime that produced the HOU job.
2021,TB,Bruce Arians,Todd Bowles,Todd Bowles,0,1,med,
2022,ARI,Kliff Kingsbury,Vance Joseph,Vance Joseph,0,1,med,
2022,BAL,John Harbaugh,Mike Macdonald,Mike Macdonald,0,0,med,Returned from Michigan to run Baltimore's defense.
2022,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,
2022,DAL,Mike McCarthy,Dan Quinn,Dan Quinn,0,1,med,
2022,DEN,Nathaniel Hackett,Ejiro Evero,Ejiro Evero,0,0,med,One season as DEN DC under Hackett before CAR.
2022,DET,Dan Campbell,Aaron Glenn,Aaron Glenn,0,1,high,
2022,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2022,LAC,Brandon Staley,(unknown),Brandon Staley,1,1,high,
2022,LAR,Sean McVay,Raheem Morris,Raheem Morris,0,1,high,
2022,LV,Josh McDaniels,Patrick Graham,Patrick Graham,0,0,med,Four seasons across THREE head coaches — the clearest case in the file for keying a fingerprint to the coordinator rather than the staff.
2022,NO,Dennis Allen,(unknown),Dennis Allen,1,1,high,"Kept the calls after promotion to head coach — 'there really is still one voice and that's mine' — over co-coordinators. ⚠ 2024 is MARGINAL: he was fired after week 9, so his share is 9 of 17, a majority by one game. The DC title is (unknown) because New Orleans carried co-coordinators the schema cannot represent; they are named here rather than guessed at: Kris Richard and Ryan Nielsen (2022)."
2022,NYJ,Robert Saleh,Jeff Ulbrich,Jeff Ulbrich,0,1,high,
2022,PHI,Nick Sirianni,Jonathan Gannon,Jonathan Gannon,0,1,high,
2022,SF,Kyle Shanahan,DeMeco Ryans,DeMeco Ryans,0,1,med,
2022,TB,Todd Bowles,(unknown),Todd Bowles,1,1,high,"Kept the calls on promotion to head coach — one of only two head coaches calling a defense in 2025. DC title is (unknown): Tampa appears to have carried none under him, but 'appears to' is not a verification, so the weaker sentinel is used."
2023,ARI,Jonathan Gannon,Nick Rallis,Nick Rallis,0,0,high,"★ OVERTURNED A DRAFT ROW: Gannon is a defensive head coach and did NOT call it — he handed the defense to Rallis on hiring ('complete faith'). Rallis was Gannon's PHI linebackers coach and came with him, so 2023 is in_house=0."
2023,BAL,John Harbaugh,Mike Macdonald,Mike Macdonald,0,1,med,
2023,CAR,Frank Reich,Ejiro Evero,Ejiro Evero,0,0,med,"Survived the Reich→Canales head-coaching change, which is why the regime is continuous while the head coach column is not."
2023,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,
2023,DAL,Mike McCarthy,Dan Quinn,Dan Quinn,0,1,med,
2023,DEN,Sean Payton,Vance Joseph,Vance Joseph,0,0,med,"Second DEN stint, this time as coordinator."
2023,DET,Dan Campbell,Aaron Glenn,Aaron Glenn,0,1,high,
2023,HOU,DeMeco Ryans,Matt Burke,DeMeco Ryans,1,0,high,"⚠ 2025 EXCLUDED and it matters for 2026: after an 0-3 start Ryans RELINQUISHED the calls to Burke, who then called most of the season. See the HOU 2025 entry — and note the signed-off 2026 row asserts Burke has held the title 'without the calls', which 2025 contradicts."
2023,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2023,LAC,Brandon Staley,(unknown),Brandon Staley,1,1,high,
2023,LAR,Sean McVay,Raheem Morris,Raheem Morris,0,1,high,
2023,LV,Antonio Pierce,Patrick Graham,Patrick Graham,0,1,med,
2023,MIA,Mike McDaniel,Vic Fangio,Vic Fangio,0,0,med,One season.
2023,MIN,Kevin O'Connell,Brian Flores,Brian Flores,0,0,med,⚠ His MIA 2019-21 HEAD-COACHING seasons are absent: Patrick Graham called 2019 and Josh Boyer had full control of 2020-21. The heavy-blitz identity 0.13.2 should reproduce belongs to these three seasons.
2023,NO,Dennis Allen,(unknown),Dennis Allen,1,1,high,
2023,NYJ,Robert Saleh,Jeff Ulbrich,Jeff Ulbrich,0,1,high,
2023,TB,Todd Bowles,(unknown),Todd Bowles,1,1,high,
2024,ARI,Jonathan Gannon,Nick Rallis,Nick Rallis,0,1,high,
2024,CAR,Dave Canales,Ejiro Evero,Ejiro Evero,0,1,med,
2024,CIN,Zac Taylor,Lou Anarumo,Lou Anarumo,0,1,med,
2024,DEN,Sean Payton,Vance Joseph,Vance Joseph,0,1,med,
2024,DET,Dan Campbell,Aaron Glenn,Aaron Glenn,0,1,high,
2024,HOU,DeMeco Ryans,Matt Burke,DeMeco Ryans,1,1,high,
2024,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2024,LAC,Jim Harbaugh,Jesse Minter,Jesse Minter,0,0,med,Followed Jim Harbaugh from Michigan. The two NFL seasons behind the 2026 BAL row.
2024,LAR,Sean McVay,Chris Shula,Chris Shula,0,1,med,Internal promotion when Morris left for the ATL head job.
2024,LV,Antonio Pierce,Patrick Graham,Patrick Graham,0,1,med,
2024,MIN,Kevin O'Connell,Brian Flores,Brian Flores,0,1,med,
2024,NO,Dennis Allen,(unknown),Dennis Allen,1,1,high,
2024,NYJ,Robert Saleh,Jeff Ulbrich,Jeff Ulbrich,0,1,high,
2024,PHI,Nick Sirianni,Vic Fangio,Vic Fangio,0,0,med,The regime the 2026 lineage file leans on most.
2024,SEA,Mike Macdonald,Aden Durde,Mike Macdonald,1,0,high,★ Calls it himself as head coach with Durde holding the title — and in 2025 became the first head coach to be primary defensive play-caller for a Super Bowl winner.
2024,TB,Todd Bowles,(unknown),Todd Bowles,1,1,high,
2024,TEN,Brian Callahan,Dennard Wilson,Dennard Wilson,0,0,med,
2025,ARI,Jonathan Gannon,Nick Rallis,Nick Rallis,0,1,high,
2025,ATL,Raheem Morris,Jeff Ulbrich,Jeff Ulbrich,0,0,high,Returned to ATL as DC and stated he would call plays on game days.
2025,CAR,Dave Canales,Ejiro Evero,Ejiro Evero,0,1,med,
2025,CHI,Ben Johnson,Dennis Allen,Dennis Allen,0,0,med,A former head coach running his own defense under an offensive head coach.
2025,CIN,Zac Taylor,Al Golden,Al Golden,0,0,med,"Arrived from Notre Dame; CIN LB coach 2020-21 but not on the 2024 staff, so 0."
2025,DEN,Sean Payton,Vance Joseph,Vance Joseph,0,1,med,
2025,DET,Dan Campbell,Kelvin Sheppard,Kelvin Sheppard,0,1,med,Internal promotion from the LB room after Glenn left for the NYJ head job.
2025,HOU,DeMeco Ryans,Matt Burke,Matt Burke,0,1,high,"★ NOT a 2026 play-caller in our scope, but included because the majority rule assigns 2025 to him: dropping it would silently credit the season to Ryans. Burke took over after week 3 and called the rest."
2025,IND,Shane Steichen,Lou Anarumo,Lou Anarumo,0,0,med,
2025,JAX,Liam Coen,Anthony Campanile,Anthony Campanile,0,0,med,"First DC job, arriving from the GB linebackers room with Coen."
2025,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,
2025,LAC,Jim Harbaugh,Jesse Minter,Jesse Minter,0,1,med,
2025,LAR,Sean McVay,Chris Shula,Chris Shula,0,1,med,
2025,LV,Pete Carroll,Patrick Graham,Patrick Graham,0,1,med,
2025,MIN,Kevin O'Connell,Brian Flores,Brian Flores,0,1,med,
2025,NO,Kellen Moore,Brandon Staley,Brandon Staley,0,0,med,
2025,PHI,Nick Sirianni,Vic Fangio,Vic Fangio,0,1,med,
2025,SEA,Mike Macdonald,Aden Durde,Mike Macdonald,1,1,high,
2025,SF,Kyle Shanahan,Robert Saleh,Robert Saleh,0,0,med,⚠ NYJ 2021-24 EXCLUDED — he handed the calls to Ulbrich and never took them back. Returned to SF as coordinator after the Jets firing.
2025,TB,Todd Bowles,(unknown),Todd Bowles,1,1,high,
2025,TEN,Brian Callahan,Dennard Wilson,Dennard Wilson,0,1,med,
# ---- 2026, user-signed-off 2026-08-03, passed through verbatim ----
2026,ARI,Mike LaFleur,Nick Rallis,Nick Rallis,0,1,high,"PRE-SIGN-OFF DOUBT, CONFIRMED AS WRITTEN BY USER 2026-08-03: Rallis DC since 2023; retained under the new head coach. Verify the retention — a new HC keeping the incumbent DC is common but not automatic."
2026,ATL,Kevin Stefanski,Jeff Ulbrich,Jeff Ulbrich,0,1,high,Ulbrich DC since 2025; Stefanski arrives from CLE as an offensive head coach so the defense stays with the coordinator.
2026,BAL,Jesse Minter,Anthony Weaver,Jesse Minter,1,0,high,"★ Minter (HC) confirmed he is the defensive play-caller; Weaver holds the DC title. Both are new to this staff in 2026 — Minter as head coach, Weaver from the MIA DC job."
2026,BUF,Joe Brady,Jim Leonhard,Jim Leonhard,0,0,high,"Brady is an offensive head coach (promoted from OC), so the defense sits with Leonhard, who arrives from Denver (assistant HC / defensive pass game coordinator)."
2026,CAR,Dave Canales,Ejiro Evero,Ejiro Evero,0,1,high,Evero DC since 2023 under an offensive head coach.
2026,CHI,Ben Johnson,Dennis Allen,Dennis Allen,0,1,high,Allen DC since 2025 under an offensive head coach; a former NO head coach running his own defense.
2026,CIN,Zac Taylor,Al Golden,Al Golden,0,1,high,Golden DC since 2025 under an offensive head coach.
2026,CLE,Todd Monken,Mike Rutenberg,Mike Rutenberg,0,0,high,Monken (offensive) arrives as head coach; Rutenberg from ATL (defensive pass game coordinator). ⚠ First-time DC — likely a defense_lineage.csv row.
2026,DAL,Brian Schottenheimer,Christian Parker,Christian Parker,0,0,high,Parker arrives from PHI (DBs / pass game coordinator). ⚠ First-time DC — likely a lineage row (Fangio tree).
2026,DEN,Sean Payton,Vance Joseph,Vance Joseph,0,1,high,Joseph DC since 2023 under an offensive head coach.
2026,DET,Dan Campbell,Kelvin Sheppard,Kelvin Sheppard,0,1,high,Sheppard DC since 2025; internally promoted from the LB room in 2025 so 2026 is his second season.
2026,GB,Matt LaFleur,Jonathan Gannon,Jonathan Gannon,0,0,high,"Gannon arrives having been ARI's head coach; a former PHI DC, so he has prior play-calling regimes to fingerprint."
2026,HOU,DeMeco Ryans,Matt Burke,DeMeco Ryans,1,1,high,★ Ryans (HC) calls the defense; Burke has held the DC title since 2023 without the calls.
2026,IND,Shane Steichen,Lou Anarumo,Lou Anarumo,0,1,high,Anarumo DC since 2025 under an offensive head coach; long prior CIN regime to fingerprint.
2026,JAX,Liam Coen,Anthony Campanile,Anthony Campanile,0,1,high,Campanile DC since 2025 under an offensive head coach.
2026,KC,Andy Reid,Steve Spagnuolo,Steve Spagnuolo,0,1,high,Spagnuolo DC since 2019 — the longest unbroken defensive regime in the league and the easiest row in the file.
2026,LAC,Jim Harbaugh,Chris O'Leary,Chris O'Leary,0,0,high,"O'Leary arrives from Western Michigan (college DC). ⚠ No NFL play-calling history — a lineage row, and 0.13.8 must stay silent on him rather than invent a prior."
2026,LAR,Sean McVay,Chris Shula,Chris Shula,0,1,high,Shula DC since 2024 under an offensive head coach.
2026,LV,Klint Kubiak,Rob Leonard,Rob Leonard,0,1,high,Kubiak (offensive) is the new head coach; Leonard internally promoted from DL / run game coordinator. ⚠ First-time DC.
2026,MIA,Jeff Hafley,Sean Duggan,Sean Duggan,0,0,high,"PRE-SIGN-OFF DOUBT, CONFIRMED AS WRITTEN BY USER 2026-08-03: ⚠ THE ROW MOST LIKELY TO BE WRONG. Hafley is a defensive head coach (ex-GB DC), so he may well call it himself, which would make play_caller=Hafley and hc_calls_defense=1. Not verified either way. Duggan arrives from the GB LB room and would be a first-time DC."
2026,MIN,Kevin O'Connell,Brian Flores,Brian Flores,0,1,high,Flores DC since 2023 under an offensive head coach; a heavy-blitz identity that 0.13.2 should reproduce as a validation of the whole pipeline.
2026,NE,Mike Vrabel,Zak Kuhr,Zak Kuhr,0,1,high,"PRE-SIGN-OFF DOUBT, CONFIRMED AS WRITTEN BY USER 2026-08-03: Kuhr internally promoted from the NE ILB room. ⚠ Vrabel is a defensive head coach — check whether he takes the calls. First-time DC either way."
2026,NO,Kellen Moore,Brandon Staley,Brandon Staley,0,1,high,Staley DC since 2025 under an offensive head coach; prior LAR DC regime and a LAC head-coaching stint to fingerprint.
2026,NYG,John Harbaugh,Dennard Wilson,Dennard Wilson,0,0,high,"PRE-SIGN-OFF DOUBT, CONFIRMED AS WRITTEN BY USER 2026-08-03: ★ Harbaugh to NYG after 18 seasons at BAL — verify. Wilson arrives from the TEN DC job, so he has a prior regime."
2026,NYJ,Aaron Glenn,Brian Duker,Aaron Glenn,1,1,high,★ Glenn (HC) confirmed as the 2026 defensive play-caller; Duker holds the DC title.
2026,PHI,Nick Sirianni,Vic Fangio,Vic Fangio,0,1,high,Fangio DC since 2024 under an offensive head coach — the tree the lineage file will lean on most.
2026,PIT,Mike McCarthy,Patrick Graham,Patrick Graham,0,0,high,"★ Tomlin stepped down after 19 seasons (verified); McCarthy hired. Graham arrives from the LV DC job with prior regimes at LV, NYG and MIA."
2026,SEA,Mike Macdonald,Aden Durde,Mike Macdonald,1,1,high,★ Macdonald (HC) calls the defense; Durde has held the DC title since 2024 without the calls.
2026,SF,Kyle Shanahan,Raheem Morris,Raheem Morris,0,0,high,Morris arrives having been ATL's head coach; extensive prior DC regimes (ATL/LAR) to fingerprint.
2026,TB,Todd Bowles,(none),Todd Bowles,1,1,high,"★ NO defensive coordinator hired for 2026 (verified). Bowles retains the calls; George Edwards is pass game coordinator and Larry Foote run game coordinator, neither calling. (none) is the correct sentinel — there is no such job, as distinct from (unknown)."
2026,TEN,Robert Saleh,Gus Bradley,Robert Saleh,1,0,high,★ Saleh (HC) reported as the defensive play-caller; Bradley holds the DC title. Saleh is new to the staff so in_house=0.
2026,WAS,Dan Quinn,Daronte Jones,Dan Quinn,1,1,high,★ Quinn (HC) calls the defense; Jones arrives from MIN (DBs / pass game coordinator) holding the title.
